Local time,Open,High,Low,Close,Volume
08.09.2018 08:00:00.000 GMT-0400,181.258,181.258,181.258,181.258,0
08.09.2018 09:00:00.000 GMT-0400,181.258,181.258,181.258,181.258,0
08.09.2018 10:00:00.000 GMT-0400,181.258,181.258,181.258,181.258,0
08.09.2018 11:00:00.000 GMT-0400,181.258,181.258,181.258,181.258,0
08.09.2018 12:00:00.000 GMT-0400,181.258,181.258,181.258,181.258,0
08.09.2018 13:00:00.000 GMT-0400,181.258,181.258,181.258,181.258,0
08.09.2018 14:00:00.000 GMT-0400,181.258,181.258,181.258,181.258,0
08.09.2018 15:00:00.000 GMT-0400,181.258,181.258,181.258,181.258,0
08.09.2018 16:00:00.000 GMT-0400,181.258,181.258,181.258,181.258,0
08.09.2018 17:00:00.000 GMT-0400,181.258,181.258,181.258,181.258,0
08.09.2018 18:00:00.000 GMT-0400,181.258,181.258,181.258,181.258,0
08.09.2018 19:00:00.000 GMT-0400,181.258,181.258,181.258,181.258,0
08.09.2018 20:00:00.000 GMT-0400,181.258,181.258,181.258,181.258,0
08.09.2018 21:00:00.000 GMT-0400,181.258,181.258,181.258,181.258,0
08.09.2018 22:00:00.000 GMT-0400,181.258,181.258,181.258,181.258,0
08.09.2018 23:00:00.000 GMT-0400,181.258,181.258,181.258,181.258,0
09.09.2018 00:00:00.000 GMT-0400,181.258,181.258,181.258,181.258,0
09.09.2018 01:00:00.000 GMT-0400,181.258,181.258,181.258,181.258,0
09.09.2018 02:00:00.000 GMT-0400,181.258,181.258,181.258,181.258,0
09.09.2018 03:00:00.000 GMT-0400,181.258,181.258,181.258,181.258,0
09.09.2018 04:00:00.000 GMT-0400,181.258,181.258,181.258,181.258,0
09.09.2018 05:00:00.000 GMT-0400,181.258,181.258,181.258,181.258,0
09.09.2018 06:00:00.000 GMT-0400,181.258,181.258,181.258,181.258,0
09.09.2018 07:00:00.000 GMT-0400,181.258,181.258,181.258,181.258,0
09.09.2018 08:00:00.000 GMT-0400,181.258,181.258,181.258,181.258,0
09.09.2018 09:00:00.000 GMT-0400,181.258,181.258,181.258,181.258,0
09.09.2018 10:00:00.000 GMT-0400,181.258,181.258,181.258,181.258,0
09.09.2018 11:00:00.000 GMT-0400,181.258,181.258,181.258,181.258,0
09.09.2018 12:00:00.000 GMT-0400,181.258,181.258,181.258,181.258,0
09.09.2018 13:00:00.000 GMT-0400,181.258,181.258,181.258,181.258,0
09.09.2018 14:00:00.000 GMT-0400,181.258,181.258,181.258,181.258,0
09.09.2018 15:00:00.000 GMT-0400,181.258,181.258,181.258,181.258,0
09.09.2018 16:00:00.000 GMT-0400,181.258,181.258,181.258,181.258,0
09.09.2018 17:00:00.000 GMT-0400,181.258,181.258,181.258,181.258,0
09.09.2018 18:00:00.000 GMT-0400,181.258,181.258,181.258,181.258,0
09.09.2018 19:00:00.000 GMT-0400,181.258,181.258,181.258,181.258,0
09.09.2018 20:00:00.000 GMT-0400,181.258,181.258,181.258,181.258,0
09.09.2018 21:00:00.000 GMT-0400,181.258,181.258,181.258,181.258,0
09.09.2018 22:00:00.000 GMT-0400,181.258,181.258,181.258,181.258,0
09.09.2018 23:00:00.000 GMT-0400,181.258,181.258,181.258,181.258,0
10.09.2018 00:00:00.000 GMT-0400,181.258,181.258,181.258,181.258,0
10.09.2018 01:00:00.000 GMT-0400,181.258,181.258,181.258,181.258,0
10.09.2018 02:00:00.000 GMT-0400,181.258,181.258,181.258,181.258,0
10.09.2018 03:00:00.000 GMT-0400,181.258,181.258,181.258,181.258,0
10.09.2018 04:00:00.000 GMT-0400,181.258,181.258,181.258,181.258,0
10.09.2018 05:00:00.000 GMT-0400,181.258,181.258,181.258,181.258,0
10.09.2018 06:00:00.000 GMT-0400,181.258,181.258,181.258,181.258,0
10.09.2018 07:00:00.000 GMT-0400,181.258,181.258,181.258,181.258,0
10.09.2018 08:00:00.000 GMT-0400,181.258,181.258,181.258,181.258,0
10.09.2018 09:00:00.000 GMT-0400,182.078,182.237,181.167,181.408,25.2389
10.09.2018 10:00:00.000 GMT-0400,181.398,181.567,180.707,181.137,37.5389
10.09.2018 11:00:00.000 GMT-0400,181.138,181.797,180.897,181.708,29.2257
10.09.2018 12:00:00.000 GMT-0400,181.707,181.707,181.187,181.348,25.6922
10.09.2018 13:00:00.000 GMT-0400,181.348,181.658,181.227,181.617,18.5873
10.09.2018 14:00:00.000 GMT-0400,181.618,181.738,181.487,181.668,16.2551
10.09.2018 15:00:00.000 GMT-0400,181.678,181.858,181.497,181.708,20.227
10.09.2018 16:00:00.000 GMT-0400,181.708,181.708,181.708,181.708,0
10.09.2018 17:00:00.000 GMT-0400,181.708,181.708,181.708,181.708,0
10.09.2018 18:00:00.000 GMT-0400,181.708,181.708,181.708,181.708,0
10.09.2018 19:00:00.000 GMT-0400,181.708,181.708,181.708,181.708,0
10.09.2018 20:00:00.000 GMT-0400,181.708,181.708,181.708,181.708,0
10.09.2018 21:00:00.000 GMT-0400,181.708,181.708,181.708,181.708,0
10.09.2018 22:00:00.000 GMT-0400,181.708,181.708,181.708,181.708,0
10.09.2018 23:00:00.000 GMT-0400,181.708,181.708,181.708,181.708,0
11.09.2018 00:00:00.000 GMT-0400,181.708,181.708,181.708,181.708,0
11.09.2018 01:00:00.000 GMT-0400,181.708,181.708,181.708,181.708,0
11.09.2018 02:00:00.000 GMT-0400,181.708,181.708,181.708,181.708,0
11.09.2018 03:00:00.000 GMT-0400,181.708,181.708,181.708,181.708,0
11.09.2018 04:00:00.000 GMT-0400,181.708,181.708,181.708,181.708,0
11.09.2018 05:00:00.000 GMT-0400,181.708,181.708,181.708,181.708,0
11.09.2018 06:00:00.000 GMT-0400,181.708,181.708,181.708,181.708,0
11.09.2018 07:00:00.000 GMT-0400,181.708,181.708,181.708,181.708,0
11.09.2018 08:00:00.000 GMT-0400,181.708,181.708,181.708,181.708,0
11.09.2018 09:00:00.000 GMT-0400,180.937,181.988,180.497,181.778,23.7492
11.09.2018 10:00:00.000 GMT-0400,181.822,182.268,181.617,181.788,31.718
11.09.2018 11:00:00.000 GMT-0400,181.787,183.208,181.767,183.208,27.539
11.09.2018 12:00:00.000 GMT-0400,183.207,183.388,182.847,183.117,21.7938
11.09.2018 13:00:00.000 GMT-0400,183.118,183.178,182.507,182.798,21.5035
